# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_truncation	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_truncation	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AC000111.3	ENSG00000232661	ENST00000441019	antisense	0	0	0	309	0	0	0	0	0	0	0	0	0	301	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3
AC000111.4	ENSG00000237974	ENST00000433478	processed_pseudogene	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AC000111.5	ENSG00000234001	ENST00000448200	processed_pseudogene	0	0	0	336	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332
AC000111.6	ENSG00000083622	ENST00000456270	antisense	4	1	0	1670	0	0	0	0	0	0	0	0	0	380	0	0	1277	0	4	0	4	0	5	0	0	0	0	0	0	18
CFTR	ENSG00000001626	ENST00000003084	protein_coding	1195	1379	2696	907	0	38	3	0	21	23	4	35	11	1	44	631	1244	2666	0	0	100	126	490	7	0	338	7	1	1118	90
CFTR	ENSG00000001626	ENST00000426809	protein_coding	1156	1336	2623	1060	0	0	0	0	0	20	4	35	11	68	43	613	1344	2593	0	0	94	122	471	7	0	335	0	0	1094	111
CFTR	ENSG00000001626	ENST00000446805	protein_coding	62	112	81	1040	0	0	28	3	230	2	0	2	0	556	4	19	278	77	0	4	18	12	67	3	1	13	0	0	39	29
CFTR	ENSG00000001626	ENST00000468795	protein_coding	152	140	325	443	2	5	0	6	4	4	1	4	1	5	20	75	107	321	0	0	10	17	48	0	0	46	0	0	124	371
CFTR	ENSG00000001626	ENST00000472848	processed_transcript	7	21	0	1397	0	0	0	0	0	0	0	0	0	1069	0	0	69	0	34	0	3	4	22	0	0	0	0	0	0	254
CFTR	ENSG00000001626	ENST00000546407	processed_transcript	6	13	0	522	0	0	0	0	0	0	0	0	0	251	0	0	238	0	55	0	6	0	16	0	0	0	0	0	0	0
CFTR	ENSG00000001626	ENST00000600166	protein_coding	103	102	198	339	0	0	0	1	1	0	1	0	1	0	8	53	340	200	0	0	6	13	33	0	0	26	0	0	85	37
